Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2017	2018	2019	2020	2021	2022	2023	2024	Estimates Start After
New Zealand	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	200.470	203.127	204.671	216.199	229.683	243.668	257.210	272.058	2018
Nicaragua	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	13.844	13.118	12.528	12.331	12.280	12.309	12.422	12.646	2018
Niger	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	8.136	9.299	9.443	10.347	11.214	12.805	13.915	15.245	2018
Nigeria	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	376.361	398.186	446.543	494.830	550.070	613.394	683.205	762.016	2018
North Macedonia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	11.308	12.670	12.672	13.333	14.176	15.054	15.979	17.007	2018
Norway	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	398.394	434.167	417.627	422.060	432.969	443.836	455.729	469.044	2018
Oman	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	70.598	79.277	76.609	78.657	81.900	84.051	87.024	90.555	2018
Pakistan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	304.567	314.588	284.214	n/a	n/a	n/a	n/a	n/a	2018
Palau	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.286	0.284	0.291	0.302	0.314	0.327	0.340	0.354	2018
Panama	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	62.284	65.055	68.536	73.369	78.888	84.891	91.351	98.303	2018
Papua New Guinea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	22.331	23.185	23.587	23.935	24.394	25.124	26.039	27.045	2015
Paraguay	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	39.009	41.854	40.714	42.826	46.181	49.300	52.576	55.698	2018
Peru	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	214.187	225.366	228.989	240.175	253.443	267.694	282.816	298.838	2018
Philippines	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	313.620	330.910	356.814	383.482	415.240	455.368	499.607	548.048	2018
Poland	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	526.749	585.816	565.854	606.730	645.416	685.942	729.835	777.244	2018
Portugal	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	221.280	240.901	236.408	243.229	252.996	262.862	272.890	283.774	2018
Puerto Rico	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	104.250	101.131	99.913	100.169	100.342	100.624	101.043	101.520	2018
Qatar	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	166.929	191.362	191.849	195.225	200.740	209.759	219.569	232.103	2018
Romania	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	211.407	239.552	243.698	261.868	281.062	301.666	322.862	345.161	2018
Russia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,579.293	1,657.290	1,637.892	1,657.539	1,714.313	1,782.057	1,858.609	1,940.442	2018
Rwanda	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	9.140	9.510	10.209	11.061	12.028	13.155	14.420	15.807	2018
